,traffic,accident,incidents,suicide,murders,attempt-to-murder,car-accident,attack
10,Restricting air traffic between India and Germany hurting both economies: Lufthansa CEO,Kozhikode plane crash probe report to be made public in 'next couple of days': Jyotiraditya Scindia,UP govt sets up one-man judicial commission to probe Lakhimpur Kheri incident,Americans warier of US government surveillance: AP-NORC poll,Agrarian riot cases up nearly 40% in 2020 from previous year: NCRB,"Gulshan Kumar murder case: HC upholds acquittal of producer Ramesh Taurani, confirms conviction of one accused",Students develop new 'driverless' electric car using AI in India,Facebook to change rules on attacking public figures on its platforms
11,CIAL retains 3rd spot in handling international traffic,Gadkari warns consultants of action in case of lapses in DPRs and monitoring of work,SC seeks presence of 2 lawyers who wrote letter for probe into Lakhimpur Kheri incident,Quetta suicide bomber arrived from Afghanistan: Pakistan government,Protesters cannot be silenced through murder: Varun Gandhi on Lakhimpur incident,Wrestler murder case: Police seek 12 days custody of Olympic medallist Sushil Kumar,Court upholds CBI's probe that ruled out foul play in Unnao rape survivor's accident,Attacks on Kashmir attempt to other majority community in UT: Sajjad Lone
12,"In a first, flight crew, air traffic controllers to be tested for drugs like cannabis, cocaine","Abhishek Bachchan 'all patched-up and casted' after accident on film set, resumes work",Protesters cannot be silenced through murder: Varun Gandhi on Lakhimpur incident,"Taliban suicide bomber blows himself up in Pakistan; 3 killed, 20 injured",Court denies bail to Olympic wrestler Sushil Kumar in murder case,Lady Gaga bulldog heist case: Three men charged with attempted murder and robbery,"Car bodyshop Fixcraft raises $1 million for expansion, hiring personnel",Two cops injured in militant attack in Jammu & Kashmir
13,"Bharat Bandh: Security up at UP-Delhi borders, traffic hit on DND, Chilla routes in Noida","AirAsia, IndiGo flights came as close as 8km, reveals report on January near-miss incident",Lakhimpur incident will strengthen farmers’ movement: RLD’s Jayant Chaudhary,Army to procure 'skystrikers' for Balakot type missions,"Varun Gandhi fires a fresh salvo, says farmers murdered in Kheri incident",CBI Court accepts closure report in murder bid case against Chhota Rajan,Tesla says autopilot makes its cars safer. Crash victims say it kills.,Systematic attack on farmers: Rahul Gandhi
14,Farmers block road and rail traffic in many areas as part of Bharat Bandh,Over speeding a major cause of road accidents in Assam: Government,Why is there so much hatred against farmers: Kejriwal asks PM on Lakhimpur Kheri incident,US airstrike hits suicide bombers targeting Kabul airport,Book those involved in death of farmers for murder: BJP MP Varun Gandhi to UP CM,Bihar Police nabs one person in Indigo station manager murder case,Govt defers mandatory installation of front seat airbags in existing car models till December 31,'Dictatorship' in India; farmers being 'systematically attacked': Rahul Gandhi
15,"Bharat Bandh: Delhi-Ghazipur border shut for traffic; jams on Gurgugram border, DND flyway",Gujarat: 8 killed as truck rams into hut,Opposition adopted negative attitude in sensitive Lakhimpur Kheri incident: UP govt,"China shocked at Kabul suicide attacks, says will work with international community to cope with terrorist threats","UP accepts farmers' demand: Union Minister's son and 13 others booked on murder, rioting charges",Pakistan's Supreme Court orders immediate release of main accused in Daniel Pearl murder case,Tesla drops radar sensors from cars. But how safe is camera-based autopilot system 'Tesla Vision'?,Taliban say Islamic State cell destroyed after mosque attack
16,"SAD takes out protest march against farm laws in Delhi; Sukhbir, Harsimrat, others detained","Kozhikode crash: AI Express offers final compensation to all injured flyers, next of kin of deceased",Lakhimpur Kheri incident: Post-mortem of deceased farmer performed again,Explosion at Kabul airport appears to be suicide attack -U.S. official,Book those involved in death of farmers in Lakhimpur Kheri for murder: Varun Gandhi to UP CM,Ryan school murder: CBI chargesheets four Haryana cops for falsely implicating an innocent,"Kevin Clark, who played drummer in 'School of Rock', passes away at 32 in bike accident","Rahul Gandhi attacks Centre over issue of Chinese incursions in Ladakh, Uttarakhand"
17,Traffic diversions in parts of Delhi in view of protest march against farm laws,AAIB probe into plane crash at Kozhikode airport last year likely to be completed this month: Government,Sharad Pawar compares Lakhimpur Kheri incident to Jallianwala Bagh,Political fight erupts over teachers suicide attempt in West Bengal,"Sachin Waze paid Rs 50,000 per month to me, named me director of firm: Woman escort in statement to NIA",CBI files charges of gangrape and murder against four accused in Hathras case,Mexico City metro overpass collapses onto road; 23 dead,Civilian injured in militant attack in J-K succumbs to injuries
18,Markolines Traffic Controls IPO to open on September 15,Higher compensation proposed in hit & run accidents,Lakhimpur incident: Congress questions PM Modi for not sacking Union minister Ajay Mishra,"China condemns suicide attack on its nationals in Gwadar, asks Pakistan to take effective measures",Dabholkar murder: CBI seeks UAPA against five accused for striking 'terror among section of people',"Bengal will never bow its head before murderers of Mahatma Gandhi, says Mamata Banerjee",Mexico City metro overpass collapses onto road; 20 dead,"Congress leaders attack G-23, launch defence of top leadership"
19,Mumbai airport registers nearly four-fold growth in passenger traffic in August,"For hit-and-run death, government plans Rs 2 lakh compensation","BJP waits for probe report, refuses comment on Lakhimpur Kheri incident",Two killed in suicide bombing targeting Chinese nationals in southwest Pakistan,"NIA files charge sheet against Sachin Waze, others in Antilia bomb scare-Mansukh Hiran murder case","'Delhi Chalo' march: Protesting farmers charged with attempt to murder, rioting in Haryana",Tech firm Netradyne ties up with Drive Smart Drive Safe to analyse road accidents,
20,Cargo traffic at major ports rises by 11.43 pc in August,Court upholds CBI's probe that ruled out foul play in Unnao rape survivor's accident,"Lakhimpur Kheri incident: Demanding re-postmortem, family members of Gurvinder refuse to cremate body",Hugh Jackman-starrer 'Reminiscence' will hit the big screen in select Indian cities on August 27,"CBI seeks from West Bengal DGP details of murder, rape cases reported during post-poll violence in state",Alexei Navalny is victim of murder attempt using Novichok: Angela Merkel,"Tiger Woods car crash: LA sheriff calls it 'purely an accident', rules out any potential criminal charges",Boats and nets of Indian fishermen damaged in alleged attack by Sri Lankan navy
21,Assam CM for stricter law against traffic violators,"PM expresses grief over loss of lives in Barabanki accident, announces relief for victims' kin","Congress describes Lakhimpur probe as 'paper work', asks why MoS home son not arrested yet",Idris Elba to voice Knuckles in animation film 'Sonic the Hedgehog 2',Jeremy Garelick to direct 'Murder Mystery' sequel for Netflix,"No Question Hour: Oppn calls it attempt to 'murder democracy', 'reduce Parliament to notice board'",Tiger Woods seriously injured in California car crash,"Attackers strike Taliban in eastern Afghanistan, 5 killed"
22,Mangaluru International Airport registers massive growth in passenger traffic in August,Road accidents on national highways account for 48% in Assam,"Varun Gandhi fires a fresh salvo, says farmers murdered in Kheri incident","UK High Court grants Nirav Modi permission to appeal on depression, suicide risk grounds",3 arrested on charge of attempting to murder Tripura CM Biplab Kumar Deb,"Dubey faced 61 FIRs - Eight of murder, involving at least 15 killings: Police document",Former West Indies pacer Moseley dead in tragic road accident,Trojan posing as IT refund skulking to attack Android phone bank customers
23,"Delhi: Rains lead to waterlogging woes, traffic disrupted in several areas",Death toll rises to 65 in Pakistan's deadly train accident: Official,"Lakhimpur Kheri incident: Sidhu, other Cong leaders hold protest outside Punjab governor's house",James Gunn's 'The Suicide Squad' to release in select cities in India on August 5,"SC grants 6 months to inquiry panel on encounter killings of accused in Hyderabad rape, murder case",Imran Khan’s remarks on Bin Laden is an attempt to become leader of Ummah,Maharashtra: 38 workers hurt in Uttam Galva Metallics plant accident,Biden sanctions cryptocurrency exchange over ransomware attacks
24,Heavy rain lashes Delhi on Wednesday affecting traffic movement,"25 killed in boat accident, say Bangladesh police","Lakhimpur Kheri incident: UP announces Rs 45 lakh ex-gratia, government job for kin of dead farmers","Yediyurappa supporter allegedly commits suicide, caretaker CM expresses grief",Sushil Kumar wanted to re-establish supremacy: Delhi Police charge sheet in murder case,Sweden halts probe into 1986 murder of PM Olof Palme,"West Bengal accident: PM Modi anguished, announces Rs 2 lakh ex gratia for kin of deceased",How 'sandwich attack' can make your crypto deal bitter
25,"Farmers' protest hits train movement, road traffic in Jalandhar for second day",Madhya Pradesh: Bus driver involved in Sidhi accident arrested,Lakhimpur Kheri incident: UP government announces judicial inquiry under retired HC judge,"Suicide, COVID risks in Mumbai prison focus of Nirav Modi extradition appeal in UK","Police files charge sheet against Olympic medallist wrestler Sushil Kumar, others in murder case",Government to slap case of attempt to murder under section 307 IPC against those who attempt to enter the Sikkim illegally: CM P.S. Golay,Union minister Shripad Naik undergoes surgeries after accident,83% organisations in India say phishing attacks on the rise; attackers exploited users' need for information on Covid-19
26,Traffic violation notice to reach you within 15 days now,PM Narendra Modi expresses grief over bus accident in Sidhi,Long-term solution needed to stop LAC incidents: Army Chief general Naravane,Probe launched into alleged suicide of Adhikari’s bodyguard,Assam police closes in on Mizoram MP K Vanlalvena,"Authorities mull NSA, attempt to murder charge against Tablighi participants who don't show up for COVID-19 test","Union minister Shripad Naik hurt in accident; wife, aide dead",Islamic State militants claim attacks on Taliban
27,Domestic air passenger traffic jumps 57% in July compared to June: Icra,President condoles loss of lives in road accident in Maharashtra,Major incident averted as IED detected in J&K,"Baba ka Dhaba owner Kanta Prasad attempts suicide, admitted to hospital",Former Pakistani diplomat's daughter murdered in Islamabad,Police book Congress MLA for attempting to murder colleague in a resort on Bengaluru outskirts,"14 people, including seven children, dead as car collides with truck in UP's Pratapgarh district",Islamic state claims responsibility for Afghanistan attacks
28,Quazigund-Banihal tunnel opens to traffic for trial: Gadkari,PM Modi expresses grief at loss of lives in road accident in Jalgaon,"Police officer shot dead by militant in Srinagar, incident caught on camera",At least 15 killed in suicide bombing at Somalia army camp,US ex-cop sentenced to over 22 years for George Floyd murder,2 Russians military spies charged with attempted murder of Skirpals with deadly nerve agent,,Rahul Gandhi attacks govt over 'job losses'
29,Bharat Bandh: Delhi Police tightens security at border points,"Will complete Ayodhya, Mathura, Varanasi work if BSP wins: Mayawati",My comparison of Lakhimpur incident to Jallianwala Bagh led to I-T raids on Ajit Pawar's kin: NCP chief  Sharad Pawar,BJP says Maha govt imposed bandh on people by abusing official machinery; Fadnavis dubs protest as 'hypocrisy',"Bengal post-poll violence: Calcutta High Court orders CBI probe into murder, rape cases; forms SIT for other offences",Joe Exotic to hand over zoo ownership to nemesis he tried to kill,"PM Modi, Amit Shah are my leaders; not using any pressure tactics, says Pankaja Munde",Army chief on 2-day visit to Jammu to review security situation
30,Domestic air passenger traffic up 31% at 66 lakh in Aug on higher capacity deployment: ICRA,"18 killed, 25 injured after truck hits bus in UP","Kheri Lok Sabha constituency: Known as Teni Maharaj in Kheri, Ajay Mishra has strongman Image",Shiv Sena fields late MP Mohan Delkar's wife for Dadra and Nagar Haveli Lok Sabha bypoll,CBI announces Rs 5 lakh award for information in case of Dhanbad judge's death,"Amityville horror: Zoom call goes horribly wrong, son fatally stabs father in the middle of a virtual chat",Govt makes airbag mandatory for front passenger seat in vehicles,"ISKCON temple vandalised, 1 killed in fresh violence in Bangladesh's Noakhali"
31,Domestic traffic expected to reach pre-Covid levels by end of FY23: DIAL,"Three killed, 40 injured in collision of buses in Punjab; CM announces relief","Lakhimpur Kheri incident: Farmers submit complaint against Union MoS Ajay Mishra Teni, his son Ashish Mishra","Lakhimpur tragedy heart-wrenching, shouldn't be compared to any other incident: Chhattisgarh CM",Pulitzer Prize-winner John Steinbeck had written a werewolf novel that his agents don’t want you to read,"Congress slams suspension of its 7 MPs as 'dictatorial', calls it attempt to weaken Opposition voice",Tiger Woods undergoes surgery after serious car crash; officers on scene say golfer ‘very fortunate’ to survive,Beyond corporatisation: The road ahead for ordnance units
32,Delhi receives highest single day rainfall in 13 years,'Gone Girl' star Lisa Banes hospitalised in a critical condition after hit-and-run scooter accident,"Lakhimpur Kheri incident: Akhilesh Yadav demands MoS Home's resignation, Rs 2 cr ex-gratia for next of kin of victims",Margot Robbie joins cast of Wes Anderson's next film,"Mizoram police charges Assam CM, 6 officers, 200 policemen under attempt to murder",All 4 accused in Hyderabad rape-murder case killed in encounter: Telangana Police,70-yr-old driver who allegedly killed Nicki Minaj's father in a hit-and-run has been arrested,"Jairam Ramesh, Owaisi attack Rajnath Singh for his 'Gandhi-Savarkar comment', say minister trying to rewrite history"
33,US agency opens formal probe into Tesla Autopilot system,"COVID-19 either emerged naturally or it was laboratory accident, says US intelligence community",Border incidents with China will continue till boundary agreement is reached: Indian Army chief,"Cinema halls bell ring again; bank on vaccinated staff, promising content to win back viewers",Delhi riots: Man who pointed gun at police constable seeks bail in attempt to murder case,Woman vet rape and murder: Police plan to seek custody of 4 accused,,Delhi terror plan: How the ISI got a 'vulnerable teen' and groomed him
34,SpiceJet shares tumble nearly 12% after Q1 earnings,"Kevin Clark, who played drummer in 'School of Rock', passes away at 32 in bike accident",Kolkata Police arrests eight persons in connection with the scuffle during Dilip Ghosh's campaign in Bhabanipur,"McAfee attempted suicide months before death in Spanish jail, prisons source says","Hold me, thrill me, kiss me, kill me — how murder can make a marriage stronger",Unnao rape victim accident: No murder charge against Sengar in CBI charge sheet,Autonomous driving to be cheaper than cost of a car: Softbank chief Son,"Aspirin use to prevent 1st heart attack or stroke should be curtailed, US panel says"
35,"US to take over air traffic control at Kabul airport, increases troops presence to 6,000 for safe evacuation","Govt to provide medical and accident insurance to more than 13,000 athletes and coaches","2 BSF troops killed, post commander injured in fratricidal incident at Tripura border post","John McAfee dies by suicide in Spanish prison, hours after he was granted extradition",Antilia bomb scare-Hiran murder case: Sachin Waze seeks default bail,Artist Shireen Mody murdered in Goa; suspect gardener dies during fatal scuffle,,Congress attacks Modi govt over its 'failure' on national security front in J&K
36,Over speeding a major cause of road accidents in Assam: Government,"Nick Jonas cracked a rib over the weekend in a biking accident, says he's 'feeling okay'","'Abba jaan' remark: What kind of a Yogi propagates hate, asks Rahul Gandhi",Maharashtra: 140-km long railway stretch sees rise in suicides; 17 cases reported in 5 months,Gulshan Kumar murder case: Abdul Rashid surrenders before Mumbai court as per HC order,Chhota Rajan gets 8-year jail term in murder-bid case,Prime Minister Narendra Modi speaks to Union minister Shripad Naik,"India condemns terrorist attack on mosque in Afghan city of Kunduz, reiterates importance of combating terrorism in Afghanistan"
37,India leads Dubai Airport's passenger traffic recovery after COVID-19 pandemic,Mexico City metro overpass collapses onto road; 20 dead,Minorities '100% secure' under Modi govt; narrative of hate incidents going up 'wrong': Minority Commission chief,'I was almost suicidal'. Mike Tyson says psychedelics saved his life,Elgar case accused observe hunger strike in jail against 'institutional murder' of Stan Swamy,"BJP expels rape, murder accused MLA Sengar from party","Car hits multiple protesters in New York, causing injuries","Lakhimpur case: Second FIR says protesters attacked BJP workers, no mention of farmers' killing"
38,"Pandemic set off a deadly rise in the 'need to speed', a worrisome trend as roads get busier",Patna: Nine die as pick-up van falls into Ganga river; Chief Minister expresses condolences,"Karnal standoff ends: Haryana govt orders probe into Aug 28 incident, farmers call off sit-in",Suicide bombing by Somalia's al Shabaab group kills six,Wife of late Union minister P Rangarajan Kumaramangalam found murdered in Delhi; suspect held,"Dabholkar, Pansare, Kalburgi, Lankesh murder cases: Authorities now have a million-rupee dilemma","Netradyne, IISc, Zoomcar study shows AI can reduce road accidents",India's concern over minority religion attacks reflected in UNSC statement on Afghan mosque strike
39,7.67 crore traffic challans issued within 23 months of new motor vehicle law implementation: Nitin Gadkari,Nashik: Oxygen tank that leaked was activated just 3 weeks ago,"Ohio Air Force base on lockdown, probes report of shooter",'Can't wait for you to see it': Film-maker James Gunn completes 'The Suicide Squad',"Stan Swamy's death an 'institutional murder': Family, friends of Elgar Parishad case accused",Haren Pandya murder case: SC upholds conviction of 12 accused,Honda says will be first to mass produce level 3 autonomous cars,Delhi Police on high alert after receiving input on terror attack during festive season
40,Marine Aids to Navigation Bill aims to replace over 90-year-old Lighthouse Act,21 miners trapped after Xinjiang coal mine accident: Official media,Mumbai court temporarily blocks game based on Salman's Khan's hit-and-run incident,Suspected suicide bombing at Indonesian church wounds 14 people,"Gulshan Kumar murder case: HC upholds acquittal of producer Ramesh Taurani, confirms conviction of one accused",Kathua case: Chief investigator regrets Vishal's release on benefit of doubt,,"Samantha Prabhu says 'personal attacks' after separation from Chaitanya have been relentless, addresses rumours of cheating"
41,"Railways' total traffic revenue decreased by Rs 34,145 cr in 2020-21: Govt","Accident at power plant in UP's Sonbhadra, 13 labourers injured",North East Delhi riots: HC quashes four FIRs lodged for same incident,787 incidents of suicide reported in armed forces since 2014: Govt data,Wrestler Sushil Kumar to remain in jail as court extends judicial custody till July 9,Rape more serious offence than murder: Maharashtra govt tells High Court,"34% of road crash victims had no income, finds samples across 20 cities",'Some have started leaving': Kashmiri Pandits fear 1990 rerun as attack on minorities rises
42,Maharashtra: Rains disrupt traffic on Mumbai-Bengaluru highway; Karnataka-bound vehicles stopped in Kolhapur,Global train accidents with highest fatalities over past decade,SKM hits out at Delhi Police for issuing notices to farmers on January 26 incidents,"Spain legalises euthanasia, assisted suicide",Antilia case-Hiran murder: NIA raids former cop Pradeep Sharma's house in Mumbai,Attack on Y S Jagan Mohan Reddy was attempt on his life; police remand report,Speeding thrills but kills most on the capital's roads,Recent attacks on civilians in J&K show terrorists are changing strategies: Ram Madhav
43,Not even silence zones spared as traffic gives Delhi an earful,Three crew dead in Russian Tu-22 strategic bomber accident,"Farmer's protest: Congress ups ante, Hooda seeks judicial probe into lathi-charge incident",BJP Parliamentary Party meeting cancelled after death of MP Ram Swaroop Sharma,"Two minor sisters found hanging from tree in Assam; family claims rape, murder",Victim held captive in temple before murder: J&K police,"1.54 lakh people killed in road crashes in India in 2019, over-speeding reason in 60% cases: Data","Ideal blood sugar level you should maintain to lower risk of strokes, heart attacks: Study"
44,Major traffic jam on NH 10 as landslides block Sikkim's arterial highway,"Road accidents killed more people than COVID last year, says Nitin Gadkari",CISF officer who won the Internet for stopping Salman Khan at airport 'rewarded for professionalism',Arnab Goswami gets exemption from appearance in suicide abetment case,Delhi court extends judicial custody of Olympic wrestler Sushil Kumar till Jun 25 in murder case,Will track murderers of BJP activists from abyss: Amit Shah,How to choose the right car insurance policy in India,"Modi attacks previous SP govt in UP, says it created hindrances in implementation of housing scheme"
45,"CIAL in third spot after Delhi, Mumbai airports in handling international traffic during Jan-May",Privatisation drive: Strategy to avoid accident along the execution line,"AirAsia, IndiGo flights came as close as 8km, reveals report on January near-miss incident","Tie-up with TMC in WB would be suicidal for Left, help BJP: CPI(M) mouthpiece","Delhi riots: HC grants bail to three men accused of murder, rioting",Gauri Lankesh murder case: SIT releases sketches,Five things to know about motor insurance riders,Arunachal Advocate General Nilay Dutta dies of heart attack at 68
46,India's domestic traffic was 71% lower in May 2021 compared to May 2019: IATA,"BSF jawan killed, 4 injured in firing accident at practice range: Police","In rare British mass shooting, gunman kills five, including 3-year-old girl",Lok Sabha member Mohan Delkar found dead in Mumbai hotel,Take steps to protect witness in murder case in which wrestler Sushil Kumar is accused: High Court,Attempt to murder case: Ahmedabad blasts suspect gets 10 years in prison,"Mamata Banerjee, PM Modi tweet for Shabana Azmi's well-being; Anil Kapoor, Tabu visit her in hospital",Dhaka witnesses lone wolf terror attack weeks after Taliban takeover
47,Strong potential for further recovery in air traffic: IndiGo,IRDAI issues guidelines for standard personal accident cover,"Incidents of judges being threatened ""serious"", says SC; asks states to file report on security",Siddaramaiah heads for remote village to fulfill man's final wish,Taapsee Pannu-starrer murder mystery 'Haseen Dillruba' to release on Netflix in July,"Sedition, attempt to murder charges against 7 securitymen of Dera chief: Police",6 killed as car falls into canal in UP's Greater Noida due to fog,"Grenade attack in Jammu and Kashmir's Pulwama, four civilians injured"
48,Domestic air passenger traffic back to growth trajectory in June amid falling COVID cases: Report,"Road accidents claimed more lives in Assam than COVID-19: Chandra Mohan Patowary, Assam Transport Minister",Union Minister Anurag Thakur questions Rahul Gandhi's 'silence' on rape incidents in Cong-ruled states,"Had existing farm laws been beneficial, many farmers would not have committed suicide: BJP leader",Chhatrasal Stadium murder: Court extends police custody of wrestler Sushil Kumar by four days,Infosys attempts to calm employees following murder at its Pune campus,"4 hockey players killed, 3 injured in road accident in MP",US pulls missile defences in Saudi Arabia amid Yemen attacks
49,JNPT's container cargo traffic rises 52.78 per cent in June,India tops the world with 11% of global death in road accidents: World Bank report,Assam-Nagaland MoU: How to avoid another violent border incident,"Counselling sessions for farmers at Singhu Border to prevent burnout, suicide bids",BJP president J P Nadda accuses Mamata Banerjee of 'murder' of constitutional ethos,Somnath Bharti chargesheeted for attempt to murder in Domestic Violence case,"Soon, car insurance premium may depend on how you drive",Bob Odenkirk returns on 'Better Call Saul' weeks after having a heart attack
50,"Goa-bound Rajdhani Express derails inside tunnel in Maharashtra; all passengers safe, rail traffic restored","Road accident scenario more 'dangerous' than coronavirus in India, says Nitin Gadkari",Decrease in Maoist violence incidents in last 3 years: Govt,Loan repay demand by official is not abetment to suicide: HC,Chhatrasal Stadium murder: Another associate of wrestler Sushil Kumar arrested by Delhi Police,Somnath Bharti chargesheeted for attempt to murder in DV case,CBI records statement of Unnao rape victim in road accident case,"View: More fears, less freedom. How 9/11 changed our world"
51,JNPT's container cargo traffic rises 65.38% in May,Road accident scenario 'more serious' in India than COVID-19 with 415 deaths daily: Nitin Gadkari,Very shocking incident: India on abduction of Afghan envoy's daughter in Islamabad,Architect suicide case: Arnab gets more time to amend petition,Wrestler murder case: 4 associates of Olympian Sushil Kumar sent to 4-day police custody,"Pakistan foils attempt to free Daniel Pearl murderer, arrests 97 militants",Unnao case: CBI probes if victim’s accident was staged,Intel alert issued on possible terror attack during Jewish holidays in India
52,Domestic air passenger traffic nosedives to 19.20 lakh in May: Report,Maharashtra: 38 workers hurt in Uttam Galva Metallics plant accident,Need for impartial inquiry to fix responsibility: Mayawati on Pegasus snooping incident,A saint commits suicide at Singhu border ‘for farmer cause’,Wrestler murder case: Four associates of Sushil Kumar arrested,"22 Shiv Sena men acquitted in rioting, attempt to murder case",Unnao accident case: CBI searches at multiple locations,Surviving 9/11 was ''just the first piece of the journey''
53,PIL to restrain beggars from begging at traffic lights to prevent COVID-19: HC seeks Delhi govt stand,Maha among 3 states with highest deaths in road accidents: Govt,"23 killed, 27 hurt in incidents of lightning strike in Rajasthan",Court allows Goswami to amend petition in abetment to suicide case,Railways set to suspend wrestler Sushil Kumar arrested in murder case,BJP Rajya Sabha MP Ranvijay Singh Judeo's younger brother arrested in attempt to murder case,"CBI to recreate ‘accident’, seek help from experts",Biden moves to declassify documents about September 11 attacks
54,Stricter curbs in Mumbai if heavy traffic continues: Maharashtra CM,Prime Minister Modi condoles loss of lives in road accident in Karnataka's Dharwad,Journalist not expected to dramatise incident and create news: Allahabad High Court,Charge sheet filed against Arnab Goswami in 2018 suicide case,Two-time Olympic medallist Sushil Kumar arrested in Chhatrasal murder case,AAP MLA Somnath Bharti arrested in domestic violence case,SC defers transfer of CBI probe into Unnao victim’s ‘accident’,"Kabul: Mission airlift in full swing after airport attack, another terror attack likely"
